time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
118,13.0,449.4318404704748,0.028925409437816695
119,11.0,457.5716898488022,0.02403994880809778
120,15.0,469.19561210238373,0.031969608438552136
121,12.0,461.1527188835698,0.026021748346299393
122,11.0,461.37867036414167,0.023841587629784194
123,16.0,460.2355877465578,0.03476480399601534
124,12.0,468.635398347787,0.025606260308775216
125,15.0,472.20754390607146,0.031765693271058174
126,16.0,465.792568261897,0.03435005427352337
127,15.0,465.1183934766218,0.032249853392981205
128,19.0,470.33546148071025,0.04039669885869161
129,12.0,475.09326721077446,0.02525819839639238
130,17.0,479.43165555842285,0.035458651515614004
131,13.0,474.526325472533,0.027395740346027396
132,14.0,480.491553648402,0.029136828511754552
133,15.0,482.5899032189524,0.031082291403006123
134,10.0,476.88692251138906,0.020969331570968332
135,13.0,478.6908546995238,0.027157402052646593
136,11.0,467.9900294847992,0.023504774262198873
137,17.0,477.9789905154779,0.035566416803521635
138,16.0,474.9549419960502,0.03368740607847609
139,12.0,478.6487235625116,0.025070577668495127
140,10.0,486.6672525972793,0.02054792046646104
141,10.0,483.60475259727923,0.020678043270446263
142,9.0,485.7116699796951,0.01852951155235006
143,13.0,481.99675746844446,0.02697113579825501
144,12.0,486.8063398938054,0.024650459570057667
145,11.0,479.493077812004,0.022940894267326203
146,13.0,468.9112866954352,0.027723794177817885
147,17.0,470.0784178324469,0.036164178901017786
148,20.0,465.4644568017682,0.042967835046785516
149,16.0,478.81553903490584,0.03341579104188929
150,14.0,473.1306409449274,0.029590135976058262
151,19.0,481.76268459319056,0.03943850490629833
152,14.0,467.7496750430838,0.029930539232786164
153,10.0,464.0477720819398,0.02154950546392072
154,15.0,477.64320407785124,0.03140419432735223
155,12.0,480.9687136279583,0.02494964778370659
156,13.0,473.14656806967366,0.027475629915349343
157,19.0,475.76268459319067,0.03993587688838247
158,15.0,473.4923157302029,0.031679500388232355
159,19.0,485.3769612884874,0.03914483281110495
160,16.0,484.0699807731476,0.0330530721497026
161,17.0,486.57334476497033,0.034938206506588465
162,20.0,492.2472038856281,0.0406299920895984
163,9.0,487.87619920668607,0.018447302849851053
164,13.0,489.733116589102,0.026545070283468936
165,18.0,494.9783591862426,0.036365226208257814
166,22.0,502.7620532639553,0.04375827462946925
167,18.0,509.5771551739765,0.03532340454676497
168,13.0,504.7812136279581,0.0257537318129701
169,12.0,505.234956417322,0.02375132569031516
170,13.0,508.63768459319067,0.02555846802896137
171,20.0,525.8293106668149,0.038035156265134006
172,12.0,521.3293106668146,0.023018080423391516
173,14.0,531.9602765686585,0.026317754570520196
174,13.0,524.4584367404382,0.024787474257819752
175,17.0,534.8187181146769,0.031786471610282765
176,17.0,540.1275384582366,0.031474047867519464
177,14.0,539.0376259469854,0.025972212933011298
178,11.0,543.8712568917753,0.020225374775024903
179,12.0,538.2887036934047,0.022292869825547908
180,10.0,544.7761405604813,0.018356163670662437
181,13.0,535.8297570839982,0.024261437197415827
182,16.0,533.1244901310316,0.030011752032001966
183,8.0,528.5235386504598,0.015136506541274063
184,13.0,528.2183979633405,0.024611032198280657
185,11.0,532.019412576836,0.020675937268381808
186,16.0,542.0826746586375,0.029515792973969484
187,11.0,543.0734755175362,0.020255086090362376
188,14.0,545.0146551739764,0.025687382654932464
189,10.0,540.7808979633406,0.01849177742346568
190,12.0,540.0460630062855,0.0222203267869399
191,15.0,534.3211892721325,0.028073002346085927
192,10.0,528.2582428549491,0.0189301352799635
193,13.0,532.8855291003525,0.02439548325124785
194,23.0,541.2953009244845,0.04249066999236467
195,19.0,531.355199014463,0.03575762509756273
196,13.0,533.1488543150774,0.024383434185000295
197,18.0,543.5216988222398,0.033117353067971894
198,17.0,545.5993638651845,0.031158394099962027
199,16.0,546.352281439824,0.029285134415169937
200,16.0,549.2565337792948,0.029130286152279444
201,13.0,550.1963200246983,0.023627929753176888
202,15.0,557.7007617629399,0.0268961440048669
203,15.0,551.6045676852276,0.02719339338132481
204,9.0,551.069795861096,0.01633186951561497
205,7.0,539.9255047445275,0.012964751504584206
206,19.0,555.234009423469,0.034219805843177326
207,8.0,552.5350240369645,0.014478720175148212
208,16.0,542.6030435216248,0.02948748664614215
209,21.0,555.5409899388081,0.03780099107054749
210,11.0,559.2104073212239,0.019670592421005027
211,12.0,548.9237956688729,0.021860957922907674
212,18.0,543.2669414193807,0.03313288298561261
213,12.0,546.4444801964783,0.021960144964197112
214,16.0,545.1874365482156,0.02934770489448904
215,18.0,547.7140869776648,0.032863861689819966
216,16.0,560.1567907977076,0.028563431280043457
217,18.0,548.5595189735761,0.03281321238154843
218,19.0,548.1264607118178,0.03466353362201467
219,15.0,556.9083149613101,0.026934415588752862
220,12.0,559.8617420860563,0.021433863216457252
