time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
63,8.0,300.85428374650206,0.026590945956883067
64,13.0,274.78016760743174,0.047310546875321144
65,9.0,282.1378470716487,0.031899300619935816
66,12.0,287.44451192237045,0.04174718772588991
67,8.0,285.7554877587679,0.027995962781836494
68,12.0,298.53213818821735,0.0401966772248631
69,11.0,302.06062844588735,0.03641653020651976
70,10.0,301.1900701841288,0.033201625783634316
71,6.0,303.26557973423604,0.01978463894668839
72,13.0,300.04958947656627,0.04332617159276365
73,13.0,292.9426720941505,0.044377283470063575
74,12.0,286.919701321141,0.0418235483473083
75,10.0,288.8235072434285,0.0346232205800746
76,14.0,287.9363905276886,0.04862185003549847
77,12.0,296.75041469129104,0.04043802268139568
78,9.0,290.03734200826045,0.031030487101014994
79,16.0,297.70123990601587,0.05374515741033256
80,10.0,302.01037591419316,0.03311144516055034
81,11.0,295.9308710430283,0.03717084318114484
82,13.0,281.98296340294246,0.04610207596628282
83,10.0,289.46856044179873,0.03454606602090946
84,13.0,274.1278858487468,0.04742312136450393
85,11.0,282.2285216647008,0.038975507985930836
86,11.0,299.9441962577529,0.03667348839297861
87,15.0,296.45079348883235,0.05059861646335943
88,9.0,296.850157672878,0.030318326493590043
89,11.0,298.1286479305479,0.03689682315455495
90,8.0,307.14717696531557,0.026046145300900474
91,9.0,295.502570184129,0.030456587888193522
92,17.0,294.6534585317773,0.057694893807488136
93,11.0,293.7643712352513,0.03744497657679195
94,12.0,292.3642449694042,0.041044690677739325
95,5.0,296.02922061357845,0.016890224517824702
96,10.0,276.8449538528352,0.03612130133069279
97,8.0,287.83759453995464,0.027793450722746096
98,6.0,290.0728759141933,0.020684457245753875
99,9.0,303.8850602495755,0.029616460883626388
100,10.0,296.5814437260587,0.03371755115345864
101,12.0,306.349210679025,0.039170983902331334
102,11.0,303.37433694487214,0.03625883491258811
103,12.0,302.26190007779576,0.039700670170178434
104,13.0,302.7234485972237,0.04294348541627715
105,14.0,303.38797782421454,0.046145533189557414
106,14.0,305.6967981677742,0.04579701221573293
107,10.0,301.7459729530496,0.03314045885065037
108,17.0,304.22528842544375,0.05587964132760179
109,11.0,306.8606960655297,0.035846884729906776
110,11.0,292.85549224548686,0.03756118731343178
111,12.0,294.2101233824991,0.04078717571658451
112,10.0,304.8536524172667,0.03280262486838294
113,10.0,312.00530284671606,0.032050737307220904
114,7.0,301.1080941555083,0.02324746539820622
115,8.0,315.88994840500067,0.025325275591685643
116,13.0,321.6935649285176,0.04041112853124272
117,11.0,313.2893125890465,0.03511131582847551
118,13.0,322.3178028467161,0.040332863668043735
119,12.0,325.6277009366946,0.03685190162102617
120,8.0,327.122497116652,0.024455670491984525
121,10.0,323.8832204213554,0.030875325949243415
122,12.0,308.5140555706334,0.03889612088436157
123,10.0,311.0817593906764,0.03214588994091859
124,11.0,316.19343417595167,0.034788831174397024
125,11.0,321.8244000777955,0.03418013052254876
126,11.0,312.8587254847436,0.03515963949209532
127,8.0,311.44926932522975,0.025686366249413253
128,14.0,307.73588097758153,0.04549355751278122
129,11.0,307.35904114936113,0.035788763391718645
130,11.0,305.1929877587681,0.03604276782628658
131,11.0,294.56982758698825,0.03734258898851965
132,15.0,309.38797782421466,0.0484828147023947
133,12.0,304.3927352270737,0.03942275426201657
134,8.0,307.5180508916916,0.026014733043484378
135,13.0,315.5469875665449,0.04119830171808712
136,9.0,314.3731284458874,0.028628401048434893
137,11.0,304.8812498405694,0.03607962118284478
138,13.0,303.04286149292096,0.04289822217212557
139,14.0,289.0434928221564,0.04843561729519358
140,10.0,300.740322715823,0.03325127774584869
141,9.0,296.4437498405697,0.030359891226717672
142,11.0,296.4858809775817,0.03710126082136015
143,15.0,295.1660216647008,0.05081885752093621
144,10.0,302.0122157424133,0.03311124344893723
145,17.0,281.3682402904622,0.06041904367902558
146,9.0,296.67414305938274,0.030336314136411094
147,13.0,283.5376576728781,0.045849288968163475
148,14.0,280.93809960334306,0.04983304158377458
149,12.0,291.33423054813187,0.04118980449850523
150,8.0,299.51284707164876,0.02671003957999257
151,11.0,297.55910428228475,0.03696744559885707
152,11.0,300.4644343681747,0.03660999020776325
153,12.0,284.85339091213507,0.042126934004803475
154,9.0,294.21030829455117,0.030590362561292626
155,11.0,295.5583422004837,0.03721769420583114
156,9.0,304.98924496940435,0.029509237287704534
157,13.0,297.93334220048365,0.04363392127911656
158,9.0,293.7983809775816,0.03063325253887886
159,14.0,290.14305089169176,0.048252060343937364
160,8.0,290.41449750109837,0.02754683415888955
161,10.0,300.64305089169164,0.03326203606017342
162,11.0,291.554978208661,0.03772873324813369
163,14.0,313.7855021800406,0.044616465396693894
164,8.0,299.7322013211413,0.02669049226188607
165,18.0,300.65453627819636,0.059869377734399314
166,10.0,314.0428614929211,0.03184278716752621
167,10.0,295.31202185692393,0.033862488689488275
168,14.0,295.81538584874676,0.0473268148640461
169,7.0,310.5790267280893,0.022538547028574704
170,10.0,298.69590533340727,0.03347886536589078
171,6.0,290.5505364704193,0.020650452320231237
172,14.0,288.73283265037657,0.048487731275619936
173,9.0,298.1995849898476,0.030181128522718804
174,11.0,288.2265510839148,0.03816442294657802
175,13.0,297.11303647041944,0.04375439110459321
176,9.0,306.5280121145937,0.029361101251116333
177,12.0,306.43702185692393,0.03915975924607055
178,12.0,301.50732758698825,0.039800027734111586
179,14.0,303.694827586988,0.04609890827327293
180,13.0,295.52908986101266,0.04398890141783978
181,14.0,305.1644975010985,0.045876896279357024
182,12.0,301.692225676967,0.03977563549432939
183,10.0,303.18150237226354,0.03298354260320747
184,14.0,295.98067715753865,0.04730038506043542
185,12.0,303.4869587240005,0.03954041402784999
186,12.0,297.584230548132,0.04032471740151262
187,13.0,297.2884197546795,0.04372857849871016
188,9.0,297.82794898167026,0.03021878917265049
189,10.0,293.9226188957802,0.03402256021523074
190,11.0,310.67014773832483,0.03540732857688412
191,12.0,301.582075055294,0.0397901632509155
192,11.0,301.1375314070311,0.036528160234972185
193,16.0,296.20662863811066,0.05401634687773291
194,13.0,307.23740514118384,0.042312556291855645
195,7.0,309.5825214724776,0.02261109563519823
196,9.0,311.31659434773167,0.028909477244079253
197,12.0,316.3084729530495,0.03793764956078553
198,13.0,306.787026343643,0.042374673254397144
199,10.0,326.84737085080496,0.030595320298796806
200,10.0,313.29070600008316,0.0319192360592955
201,8.0,308.1249682741076,0.025963491517127592
202,9.0,297.06246827410763,0.030296657980016024
203,10.0,294.0224926299332,0.034011003411859184
204,7.0,298.3576477383248,0.023461774997433165
205,11.0,310.08804095713793,0.03547379630006589
206,6.0,305.8409585317774,0.01961803948301643
207,6.0,309.9127884254438,0.019360285293433217
208,13.0,296.11424496940424,0.043901974392833464
209,14.0,313.2737011289181,0.04468935614304481
210,13.0,316.23156999190587,0.04110911507137868
211,8.0,318.7815068589822,0.02509555864399286
212,10.0,311.97560409006184,0.03205378840171483
213,7.0,307.4837254847438,0.022765432508548535
214,5.0,298.252570184129,0.01676431487887331
215,5.0,291.56614793054786,0.017148767219680863
216,8.0,287.0054877587679,0.027874031477489066
217,13.0,289.9662741963949,0.044832800076587756
218,5.0,297.2933079101045,0.016818407501832833
219,10.0,307.1505409571381,0.03255732504601211
220,6.0,304.2389293047865,0.01972134208370554
221,9.0,305.045909820126,0.029503755697976607
222,13.0,304.8055553784104,0.04265014128059688
223,10.0,316.189885272077,0.031626565129985545
224,7.0,317.6836037056153,0.022034501996164146
225,7.0,310.9642494561228,0.022510626260874092
226,10.0,300.95016215959674,0.03322809307773991
227,11.0,302.7830310225847,0.03632964490397583
228,4.0,307.00270093669496,0.013029201332091258
229,6.0,302.34369119436445,0.0198449651001411
230,12.0,307.0693270103189,0.039079123000770266
231,10.0,315.9931861309762,0.03164625200448181
232,8.0,319.438045443857,0.025043979933210694
233,10.0,316.8873464949796,0.031556955841272216
234,10.0,307.90987085080474,0.03247703612868397
235,14.0,302.30968145203417,0.04631012785550272
236,9.0,298.39286597963985,0.030161578999057217
237,10.0,303.4938174602115,0.032949600369737396
238,6.0,306.94724458495796,0.01954733298913618
239,10.0,291.6369000777956,0.03428921373575309
240,13.0,294.544832073707,0.04413589574284866
241,10.0,289.9153903354654,0.03449282215900595
242,10.0,286.1879146912909,0.034942076470234375
243,9.0,286.0296670307619,0.03146526754874021
244,11.0,291.991531214808,0.03767232547545252
245,8.0,290.6369000777957,0.027525754637001066
246,6.0,290.58252147247737,0.020648179283447688
247,7.0,284.6372157424135,0.02459270823648988
248,12.0,294.14717696531545,0.04079590402261446
249,7.0,293.0145019878171,0.023889602570902942
250,12.0,286.12833226593017,0.041939223232347
251,13.0,295.7888661718629,0.043950268203964714
252,10.0,298.6897545195112,0.03347955478448382
253,12.0,303.1805553784103,0.03958037475398902
254,9.0,307.5699583395543,0.02926163546201767
255,9.0,309.6476233824991,0.029065296551243187
256,10.0,303.5037786831134,0.03294851893900452
257,6.0,298.03918183648096,0.02013158123381206
258,6.0,298.5872788753371,0.020094627013581026
259,10.0,303.88245833955426,0.03290746051825779
260,12.0,289.4094244336213,0.04146374992274071
261,11.0,285.34724009823884,0.038549523016984284
262,9.0,289.65897801643774,0.03107102034824297
263,5.0,290.7444487894471,0.017197232899263115
264,5.0,286.59203627819613,0.017446402436481098
265,9.0,280.7636091534499,0.032055436340687214
266,7.0,275.3460315992543,0.025422556335178932
267,7.0,282.3852451616274,0.024788830577863394
268,12.0,273.7827695174529,0.04383036968013078
269,9.0,266.33118222092696,0.03379251323464754
270,7.0,274.29685681397893,0.02551979662219469
271,10.0,276.66449750109837,0.036144861701889665
272,9.0,280.6723032311624,0.03206586434211707
273,4.0,288.1955896687896,0.013879462918211283
274,11.0,297.20155557063356,0.03701191933157872
275,7.0,298.5665943477313,0.023445355684525493
276,9.0,291.5044100123491,0.030874318503856354
277,8.0,301.4146282536643,0.026541512090340107
278,8.0,298.4630409571383,0.026803988776449093
279,9.0,285.444827586988,0.031529735802472335
280,9.0,295.1105653129638,0.03049704435507258
281,6.0,300.62541469129127,0.0199583924272049
282,9.0,311.1424195624562,0.028925660514745124
283,8.0,313.71043904711667,0.025501223434896494
284,6.0,323.1635505072452,0.018566450302276532
285,9.0,321.50454076491496,0.02799338379043556
286,9.0,311.77262338249886,0.028867191424175598
