time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
527,1.0,214.49862902255697,0.004662034459412972
528,3.0,220.1225512761381,0.013628771711975012
529,4.0,237.91589091213496,0.016812664276709643
530,4.0,214.4191241513918,0.018655052415827322
531,2.0,246.7095462127497,0.008106698872022172
532,0.0,0.0,0.0
533,2.0,216.52267754198508,0.00923690775813627
534,1.0,213.983463979612,0.004673258304180357
535,1.0,216.37178919433666,0.004621674589480975
536,2.0,217.42616779965493,0.009198524815296745
537,3.0,238.2417161268596,0.012592253148489545
538,2.0,240.54793456039795,0.008314351165205413
539,4.0,239.7997743886181,0.016680582832899683
540,3.0,237.37407543974044,0.012638279872991341
541,1.0,235.88295891622363,0.0042393906053856175
542,3.0,238.8855608262451,0.012558314490100425
543,1.0,210.1602406749087,0.004758273956998715
544,2.0,211.72718241315013,0.00944611824143267
545,4.0,247.71107037635204,0.01614784512425192
546,1.0,211.7648718119208,0.0047222185220981835
547,3.0,238.8578326503765,0.012559772341195072
548,2.0,242.3227451616273,0.00825345552546467
549,1.0,211.9450124990401,0.004718204916497051
550,3.0,240.94698307982605,0.012450871812767607
551,1.0,212.47978432317163,0.004706330078343112
552,2.0,242.64152672808908,0.008242612165234421
553,2.0,232.33822586919,0.008608140104874653
554,1.0,244.7798519428138,0.004085303557719379
555,2.0,236.3345462127497,0.008462579982697869
556,0.0,0.0,0.0
557,1.0,234.59894917389337,0.0042625936881702025
558,2.0,208.92908537429386,0.009572626024840079
559,2.0,240.6640510839148,0.008310339624851738
560,3.0,245.562021856924,0.012216872858898114
561,3.0,213.49418728431533,0.014051904823079928
562,2.0,216.1450756319636,0.009253044484832294
563,2.0,249.14780829455094,0.008027363410058708
564,2.0,243.69622099802484,0.008206938916858338
565,2.0,244.46582777921142,0.008181102521233741
566,2.0,214.733463979612,0.009313872011070855
567,1.0,217.80040571785352,0.004591359674946776
568,0.0,0.0,0.0
569,0.0,0.0,0.0
570,2.0,215.72090084668847,0.00927123886535866
571,2.0,216.8048474560952,0.009224885990637349
572,0.0,0.0,0.0
573,3.0,244.5220462127496,0.01226883238736605
574,1.0,240.7176676074316,0.0041542443059510905
575,0.0,0.0,0.0
576,1.0,211.3103669407557,0.004732375483879436
577,2.0,242.8693180368811,0.008234881277577797
578,4.0,244.0460947321779,0.016390346276139747
579,2.0,243.32014325160594,0.008219623633592446
580,1.0,245.039813165716,0.004080969484431161
581,2.0,245.42369664219925,0.008149172338952175
582,3.0,241.23175490395755,0.012436173675370395
583,1.0,244.52908986101255,0.004089492994753255
584,2.0,234.15884726387188,0.008541210478996827
585,0.0,0.0,0.0
586,3.0,204.4738184213275,0.014671805041652643
587,3.0,236.3489491738933,0.012693096417334845
588,1.0,235.35967247859668,0.004248816245658817
589,0.0,0.0,0.0
590,3.0,240.5194443027282,0.012473004037977362
591,2.0,246.94774516162738,0.008098879375031343
592,1.0,247.08346846633063,0.004047215324469461
593,1.0,210.37991058901864,0.004753305566107593
594,2.0,260.27433245815337,0.007684199902122726
595,2.0,247.20923054813184,0.008090312791174673
596,1.0,246.7210315992543,0.00405316074401102
597,2.0,252.35015767287825,0.007925495345212353
598,1.0,243.92553647041944,0.00409961176869757
599,6.0,240.83898795099114,0.024912909869979
600,2.0,238.53276951745306,0.008384592205280471
601,1.0,255.14825471173438,0.003919289987422397
602,2.0,251.5431771575386,0.007950921279599737
603,2.0,239.87743943156306,0.00833759108292716
604,3.0,238.2158277792114,0.012593621624422572
605,1.0,216.32889597552318,0.00462259096497745
606,1.0,251.24216254404337,0.003980223661005535
607,1.0,215.5189978855448,0.004639962183431587
