time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
59,10.0,354.87859377106173,0.02817865088377568
60,6.0,356.6027054234133,0.016825447223895517
61,24.0,362.0953461105328,0.06628088501494794
62,18.0,360.3072102945784,0.049957368283814356
63,14.0,362.15816177515046,0.038657143418714505
64,15.0,364.5945840287316,0.0411415875525401
65,14.0,358.4317638773951,0.03905903831890532
66,13.0,352.75758909211993,0.03685250268734871
67,19.0,369.04280733343506,0.05148454223315413
68,14.0,364.6074628262728,0.03839745871211277
69,9.0,373.02580246226984,0.02412701732854074
70,20.0,364.95581239682343,0.05480115488133017
71,11.0,372.1541664540923,0.029557643018775455
72,15.0,360.94293359928196,0.04155781594176593
73,16.0,367.24807428640116,0.043567280866181696
74,12.0,368.67592872811673,0.032548911021661804
75,14.0,355.97833675264894,0.03932823589129773
76,12.0,366.1699628262729,0.03277166676200944
77,20.0,371.6892539428416,0.05380838909880241
78,19.0,366.5195208958079,0.051838985147536557
79,12.0,374.2022634929487,0.03206821863659337
80,12.0,374.55245289171927,0.03203823632005188
81,16.0,382.34978784877427,0.041846498961124745
82,12.0,381.5857005522483,0.03144771930036438
83,16.0,376.36634630275614,0.04251177119627295
84,14.0,383.13011793466416,0.036541110564394325
85,10.0,388.2370353170801,0.025757460237745795
86,16.0,374.7428704663585,0.04269594236733146
87,13.0,377.4415401882454,0.03444241986061304
88,18.0,384.22783617597946,0.046847204458543845
89,18.0,379.04249166881715,0.04748807955738967
90,16.0,373.5757393293463,0.0428293336947513
91,13.0,375.15784611053266,0.03465208081019266
92,14.0,368.0428073334349,0.03803905339553736
93,11.0,357.394836560426,0.030778284616152233
94,9.0,368.1037831698321,0.024449626468108502
95,16.0,362.3453461105329,0.04415676969980794
96,15.0,367.0568946299611,0.04086559936470301
97,16.0,377.91825375061825,0.0423371981670886
98,13.0,375.3601954888602,0.03463340054762362
99,19.0,365.5150791575665,0.0519814395723178
100,14.0,368.70042366472865,0.03797120670718474
101,8.0,366.2336713252574,0.021843977292014434
102,16.0,368.2721228058295,0.04344613401116967
103,10.0,378.22187027413514,0.026439507564044357
104,15.0,376.678977055322,0.039821707378686504
105,15.0,376.87459845000376,0.039801037431791524
106,15.0,386.1590546095176,0.038844097583489105
107,11.0,372.9629867976519,0.029493543298890305
108,20.0,384.48151583241975,0.05201810536118778
109,15.0,379.34718593875306,0.03954161400427998
110,22.0,388.3476323559365,0.05665027456594894
111,13.0,395.0895109612546,0.032903936043179025
112,18.0,388.1944577628845,0.04636851361488188
113,20.0,389.5746615829273,0.05133804113115471
114,15.0,388.00924400828814,0.03865887277592693
115,10.0,387.13716158292743,0.0258306383172103
116,18.0,385.3405887076739,0.04671192323748463
117,15.0,390.3081031289457,0.03843117752296438
118,18.0,402.38913216371327,0.04473281846159961
119,17.0,411.52485546841683,0.04130977697726133
120,13.0,428.08596205738013,0.030367732540263714
121,17.0,418.3059476361077,0.04064011065601349
122,12.0,403.5873554684164,0.02973333985172161
123,11.0,408.82523875267657,0.02690636232136973
124,13.0,415.2763796320192,0.03130445322105591
125,13.0,415.37441353795185,0.031297064952249924
126,15.0,419.127015447973,0.03578867371259197
127,17.0,411.16210293672265,0.041346223006881254
128,13.0,417.1063309203678,0.031167112643231267
129,14.0,413.5582338815117,0.033852548088816756
130,17.0,408.1562677874445,0.04165071405654142
131,13.0,417.33793263816625,0.03114981645167408
132,11.0,427.9762578528908,0.025702360348645915
133,15.0,417.6041754275298,0.03591918108731427
134,13.0,407.7287290103464,0.03188394409085193
135,24.0,409.64783072814464,0.05858690855835916
136,22.0,412.8583015011535,0.053287047686840644
137,15.0,416.4307627240562,0.03602039364690165
138,17.0,417.08533072814436,0.040759045565859464
139,15.0,432.7366654929765,0.034663113149684
140,17.0,423.99878220871653,0.040094454779899875
141,13.0,409.6115347404108,0.03173738749383287
142,21.0,398.7368504050285,0.05266631358167333
143,18.0,407.78386969746555,0.04414102993665292
144,17.0,403.68659787333434,0.04211187611765632
145,11.0,413.6951656851997,0.026589626644006815
146,17.0,404.4784133457286,0.042029437020831124
147,19.0,407.9776512639275,0.046571178448469926
148,16.0,413.2306995911326,0.03871929170758866
149,19.0,419.8010053211966,0.04525953906533118
150,13.0,420.1312722741631,0.03094270971458809
151,11.0,426.9733402782516,0.025762732616587906
152,11.0,425.83546148071065,0.025831573447995415
153,16.0,430.51255384062455,0.037165002175344665
154,18.0,442.89719939890927,0.04064148525759301
155,8.0,446.5957383682304,0.017913292297034374
156,12.0,436.88158793878074,0.02746739695901658
157,18.0,443.21077714532817,0.04061273084543661
158,15.0,440.3579858365358,0.03406319513317084
159,9.0,441.89719939890904,0.020366727854899864
160,9.0,449.42048583653616,0.02002578939686673
161,15.0,437.3478938610683,0.03429763858601095
162,10.0,450.41604409829426,0.022201695812189365
163,16.0,444.01515575064576,0.036034806003301
164,18.0,444.62086463407724,0.04048393008909735
165,20.0,444.0235928099462,0.04504265161549766
166,17.0,442.7037334970654,0.038400398988531884
167,16.0,444.46001506352655,0.03599873882403825
168,16.0,450.4756265236555,0.03551801486680391
169,9.0,447.0018305359215,0.020134145735398172
170,14.0,437.6145830676155,0.031991621261480835
171,12.0,448.70741315350574,0.026743485060040054
172,12.0,449.64751506352695,0.026687571037292666
173,16.0,460.3783546995239,0.03475402315654643
174,20.0,435.6397093334625,0.04590949716360889
175,15.0,442.26286950524246,0.033916480523857755
176,14.0,440.9603307281444,0.031748887653640465
177,16.0,447.1803163068726,0.03577975017357467
178,16.0,454.6651512639274,0.03519073312639306
179,14.0,457.8837434316187,0.030575446717275273
180,17.0,452.46324830278377,0.03757211235115338
181,20.0,453.2503063723192,0.04412572858488295
182,15.0,460.9322868876584,0.03254274093334647
183,13.0,461.2241023600526,0.02818586438453645
184,22.0,470.2044955788663,0.04678815325428975
185,14.0,469.7714373171076,0.02980172672897021
186,21.0,460.9404082823401,0.045559034579447974
187,10.0,451.6692773375513,0.02214009343063328
188,22.0,463.63786950524263,0.04745082627412779
189,15.0,477.2721993989091,0.03142860618928035
190,16.0,472.03844218827334,0.03389554445148002
191,17.0,470.74218497763695,0.036113185821252884
192,21.0,463.5845686463433,0.0452991782304565
193,16.0,471.2003695052425,0.033955830757942534
194,19.0,481.8635053211967,0.03943025315298599
195,11.0,476.9652188835696,0.023062478278285472
196,19.0,465.68120914123966,0.040800443795097084
197,20.0,468.7795587117898,0.04266397633668194
198,18.0,465.0199131535056,0.03870801978765606
199,11.0,466.5664860287593,0.023576489802402904
200,17.0,465.2931995911324,0.0365361024294755
201,24.0,473.7306995911322,0.0506616945465302
202,14.0,482.6715635829552,0.029005230588012187
203,17.0,473.7048112434842,0.03588732813452892
204,17.0,495.9645875543343,0.03427664076548127
205,15.0,488.20417991424836,0.030724849595992205
206,22.0,482.9426945277439,0.04555405899971876
207,10.0,472.86350532119656,0.021147751703120787
208,10.0,481.46414113715093,0.020769978790905173
209,13.0,469.5473256647562,0.027686240107097616
210,22.0,480.81065087948105,0.04575605794039382
211,16.0,481.8668693130195,0.033204191902237716
212,17.0,478.17676740299794,0.03555170631214029
213,20.0,476.8017674029978,0.04194615323876472
214,16.0,481.98311658910205,0.03319618353694377
215,21.0,500.0871163968788,0.041992683497436865
216,12.0,494.49980579564954,0.024266945829618712
217,22.0,492.2701746586369,0.0446909057922427
218,13.0,493.724679529802,0.026330464201993167
219,22.0,490.4705534561783,0.044854884447136575
220,17.0,487.2031021678299,0.03489304547601978
221,21.0,490.2308303436983,0.0428369631205712
222,16.0,493.24383989380516,0.03243831692544763
223,18.0,496.65989328439844,0.03624210499657318
224,14.0,478.7515148713037,0.029242727312859637
225,16.0,486.30557781200406,0.03290112375841446
226,15.0,492.69726701855177,0.03044465842233949
227,12.0,489.8991699796949,0.02449483635683108
228,20.0,490.5119225113895,0.04077372859277566
229,14.0,494.9956797220256,0.0282830751328213
230,18.0,501.7723301514751,0.03587284295761418
231,21.0,489.1324807731479,0.04293315374764383
232,12.0,491.8391411371509,0.02439822087411657
